家族類型,所有,建て方,延床面積,世帯数
15,3,2,3,9
15,3,2,4,1
15,3,2,5,1
15,3,3,0,0
15,3,3,1,0
15,3,3,2,0
15,3,3,3,0
15,3,3,4,0
15,3,3,5,1
15,4,0,0,0
15,4,0,1,1
15,4,0,2,4
15,4,0,3,3
15,4,0,4,0
15,4,0,5,0
15,4,1,0,3
15,4,1,1,0
15,4,1,2,0
15,4,1,3,0
15,4,1,4,0
15,4,1,5,0
15,4,2,0,3
15,4,2,1,0
15,4,2,2,2
15,4,2,3,0
15,4,2,4,0
15,4,2,5,0
15,4,3,0,0
15,4,3,1,0
15,4,3,2,1
15,4,3,3,0
15,4,3,4,0
15,4,3,5,0
2,0,0,0,5
2,0,0,1,5
2,0,0,2,8
2,0,0,3,8
2,0,0,4,10
2,0,0,5,15
2,0,1,0,2
2,0,1,1,2
2,0,1,2,6
2,0,1,3,3
2,0,1,4,2
2,0,1,5,0
2,0,2,0,0
2,0,2,1,8
2,0,2,2,70
2,0,2,3,182
2,0,2,4,0
2,0,2,5,1
2,0,3,0,0
2,0,3,1,1
2,0,3,2,0
2,0,3,3,0
2,0,3,4,0
2,0,3,5,0
2,1,0,0,0
2,1,0,1,0
2,1,0,2,0
2,1,0,3,0
2,1,0,4,0
2,1,0,5,0
2,1,1,0,0
2,1,1,1,0
2,1,1,2,0
2,1,1,3,0
2,1,1,4,0
2,1,1,5,0
2,1,2,0,3
2,1,2,1,94
2,1,2,2,43
2,1,2,3,16
2,1,2,4,0
2,1,2,5,0
2,1,3,0,0
2,1,3,1,0
2,1,3,2,0
2,1,3,3,0
2,1,3,4,0
2,1,3,5,0
2,2,0,0,4
2,2,0,1,0
2,2,0,2,5
2,2,0,3,1
2,2,0,4,4
2,2,0,5,0
2,2,1,0,9
2,2,1,1,0
2,2,1,2,10
2,2,1,3,3
2,2,1,4,0
2,2,1,5,2
2,2,2,0,248
2,2,2,1,2
2,2,2,2,10
2,2,2,3,6
2,2,2,4,0
2,2,2,5,0
2,2,3,0,0
2,2,3,1,2
2,2,3,2,0
2,2,3,3,0
2,2,3,4,0
2,2,3,5,0
2,3,0,0,0
2,3,0,1,1
2,3,0,2,2
2,3,0,3,1
2,3,0,4,0
2,3,0,5,2
2,3,1,0,0
2,3,1,1,1
2,3,1,2,0
2,3,1,3,0
2,3,1,4,0
2,3,1,5,1
2,3,2,0,0
2,3,2,1,0
2,3,2,2,0
2,3,2,3,18
2,3,2,4,4
2,3,2,5,0
2,3,3,0,0
2,3,3,1,0
2,3,3,2,0
2,3,3,3,0
2,3,3,4,0
2,3,3,5,0
2,4,0,0,0
2,4,0,1,1
2,4,0,2,0
2,4,0,3,3
2,4,0,4,0
2,4,0,5,0
2,4,1,0,0
2,4,1,1,0
2,4,1,2,0
2,4,1,3,0
2,4,1,4,0
2,4,1,5,0
2,4,2,0,0
2,4,2,1,1
2,4,2,2,0
2,4,2,3,3
2,4,2,4,0
2,4,2,5,0
2,4,3,0,0
2,4,3,1,2
2,4,3,2,0
2,4,3,3,0
2,4,3,4,0
2,4,3,5,0
3,0,0,0,27
3,0,0,1,2
3,0,0,2,10
3,0,0,3,173
3,0,0,4,411
3,0,0,5,2
3,0,1,0,2
3,0,1,1,5
3,0,1,2,4
3,0,1,3,2
3,0,1,4,7
3,0,1,5,0
3,0,2,0,0
3,0,2,1,32
3,0,2,2,576
3,0,2,3,1206
3,0,2,4,9
3,0,2,5,3
3,0,3,0,0
3,0,3,1,3
3,0,3,2,0
3,0,3,3,1
3,0,3,4,0
3,0,3,5,3
3,1,0,0,0
3,1,0,1,0
3,1,0,2,0
3,1,0,3,0
3,1,0,4,0
3,1,0,5,0
3,1,1,0,0
3,1,1,1,0
3,1,1,2,0
3,1,1,3,0
3,1,1,4,0
3,1,1,5,0
3,1,2,0,30
3,1,2,1,530
3,1,2,2,939
3,1,2,3,12
3,1,2,4,3
3,1,2,5,0
3,1,3,0,0
3,1,3,1,0
3,1,3,2,0
3,1,3,3,0
3,1,3,4,0
3,1,3,5,0
3,2,0,0,5
3,2,0,1,6
3,2,0,2,0
3,2,0,3,15
3,2,0,4,0
3,2,0,5,3
3,2,1,0,0
3,2,1,1,3
3,2,1,2,2
3,2,1,3,6
3,2,1,4,0
3,2,1,5,0
3,2,2,0,2053
3,2,2,1,260
3,2,2,2,17
3,2,2,3,4
3,2,2,4,5
3,2,2,5,7
3,2,3,0,11
3,2,3,1,5
3,2,3,2,0
3,2,3,3,0
3,2,3,4,0
3,2,3,5,0
3,3,0,0,0
3,3,0,1,3
3,3,0,2,1
3,3,0,3,9
3,3,0,4,4
3,3,0,5,2
3,3,1,0,1
3,3,1,1,0
3,3,1,2,4
3,3,1,3,5
3,3,1,4,1
3,3,1,5,0
3,3,2,0,7
3,3,2,1,6
3,3,2,2,7
3,3,2,3,23
3,3,2,4,0
3,3,2,5,1
3,3,3,0,1
3,3,3,1,5
3,3,3,2,2
3,3,3,3,2
3,3,3,4,0
3,3,3,5,2
3,4,0,0,2
3,4,0,1,4
3,4,0,2,2
3,4,0,3,7
3,4,0,4,0
3,4,0,5,0
3,4,1,0,4
3,4,1,1,2
3,4,1,2,1
3,4,1,3,0
3,4,1,4,0
3,4,1,5,0
3,4,2,0,43
3,4,2,1,17
3,4,2,2,10
3,4,2,3,3
3,4,2,4,0
3,4,2,5,0
3,4,3,0,1
3,4,3,1,0
3,4,3,2,0
3,4,3,3,0
3,4,3,4,0
3,4,3,5,0
4,0,0,0,1
4,0,0,1,0
4,0,0,2,2
4,0,0,3,12
4,0,0,4,8
4,0,0,5,1
4,0,1,0,1
4,0,1,1,0
4,0,1,2,0
4,0,1,3,2
4,0,1,4,2
4,0,1,5,0
4,0,2,0,3
4,0,2,1,10
4,0,2,2,6
4,0,2,3,21
4,0,2,4,6
4,0,2,5,2
4,0,3,0,1
4,0,3,1,0
4,0,3,2,2
4,0,3,3,0
4,0,3,4,1
4,0,3,5,0
4,1,0,0,0
4,1,0,1,0
4,1,0,2,0
4,1,0,3,0
4,1,0,4,0
4,1,0,5,0
4,1,1,0,0
4,1,1,1,1
4,1,1,2,0
4,1,1,3,0
4,1,1,4,0
4,1,1,5,0
4,1,2,0,3
4,1,2,1,1
4,1,2,2,0
4,1,2,3,1
4,1,2,4,0
4,1,2,5,0
4,1,3,0,0
4,1,3,1,0
4,1,3,2,0
4,1,3,3,0
4,1,3,4,0
4,1,3,5,0
4,2,0,0,1
4,2,0,1,1
4,2,0,2,0
4,2,0,3,0
4,2,0,4,0
4,2,0,5,0
4,2,1,0,1
4,2,1,1,0
4,2,1,2,3
4,2,1,3,0
4,2,1,4,0
4,2,1,5,0
4,2,2,0,0
4,2,2,1,0
4,2,2,2,1
4,2,2,3,0
4,2,2,4,2
4,2,2,5,0
4,2,3,0,0
4,2,3,1,0
4,2,3,2,0
4,2,3,3,0
4,2,3,4,0
4,2,3,5,0
4,3,0,0,0
4,3,0,1,0
4,3,0,2,0
4,3,0,3,0
4,3,0,4,0
4,3,0,5,0
4,3,1,0,1
4,3,1,1,0
4,3,1,2,0
4,3,1,3,0
4,3,1,4,0
4,3,1,5,0
4,3,2,0,0
4,3,2,1,0
4,3,2,2,0
4,3,2,3,0
4,3,2,4,0
4,3,2,5,0
4,3,3,0,1
4,3,3,1,0
4,3,3,2,1
4,3,3,3,0
4,3,3,4,0
4,3,3,5,0
4,4,0,0,0
4,4,0,1,0
4,4,0,2,0
4,4,0,3,0
4,4,0,4,0
4,4,0,5,0
4,4,1,0,0
4,4,1,1,0
4,4,1,2,0
4,4,1,3,0
4,4,1,4,0
4,4,1,5,0
4,4,2,0,0
4,4,2,1,0
4,4,2,2,0
4,4,2,3,0
4,4,2,4,0
4,4,2,5,0
4,4,3,0,0
4,4,3,1,0
4,4,3,2,0
4,4,3,3,0
4,4,3,4,0
4,4,3,5,0
5,0,0,0,8
5,0,0,1,11
5,0,0,2,2
5,0,0,3,23
5,0,0,4,0
5,0,0,5,12
5,0,1,0,0
5,0,1,1,4
5,0,1,2,1
5,0,1,3,0
5,0,1,4,5
5,0,1,5,0
5,0,2,0,5
5,0,2,1,8
5,0,2,2,1
5,0,2,3,231
5,0,2,4,15
5,0,2,5,4
5,0,3,0,2
5,0,3,1,1
5,0,3,2,9
5,0,3,3,1
5,0,3,4,4
5,0,3,5,0
5,1,0,0,0
5,1,0,1,0
5,1,0,2,0
5,1,0,3,0
5,1,0,4,0
5,1,0,5,0
5,1,1,0,0
5,1,1,1,0
5,1,1,2,1
5,1,1,3,0
5,1,1,4,0
5,1,1,5,0
5,1,2,0,1
5,1,2,1,11
5,1,2,2,8
5,1,2,3,9
5,1,2,4,2
5,1,2,5,0
5,1,3,0,0
5,1,3,1,0
5,1,3,2,0
5,1,3,3,0
5,1,3,4,0
5,1,3,5,0
5,2,0,0,0
5,2,0,1,0
5,2,0,2,0
5,2,0,3,1
5,2,0,4,1
5,2,0,5,2
5,2,1,0,3
5,2,1,1,2
5,2,1,2,0
5,2,1,3,3
5,2,1,4,1
5,2,1,5,0
5,2,2,0,3
5,2,2,1,5
5,2,2,2,3
5,2,2,3,6
5,2,2,4,2
5,2,2,5,15
5,2,3,0,3
5,2,3,1,0
5,2,3,2,0
5,2,3,3,4
5,2,3,4,0
5,2,3,5,0
5,3,0,0,0
5,3,0,1,0
5,3,0,2,0
5,3,0,3,1
5,3,0,4,0
5,3,0,5,0
5,3,1,0,0
5,3,1,1,0
5,3,1,2,0
5,3,1,3,0
5,3,1,4,0
5,3,1,5,0
5,3,2,0,0
5,3,2,1,1
5,3,2,2,0
5,3,2,3,1
5,3,2,4,0
5,3,2,5,1
5,3,3,0,0
5,3,3,1,0
5,3,3,2,0
5,3,3,3,0
5,3,3,4,0
5,3,3,5,0
5,4,0,0,0
5,4,0,1,0
5,4,0,2,0
5,4,0,3,1
5,4,0,4,0
5,4,0,5,0
5,4,1,0,0
5,4,1,1,0
5,4,1,2,0
5,4,1,3,0
5,4,1,4,0
5,4,1,5,0
5,4,2,0,0
5,4,2,1,1
5,4,2,2,0
5,4,2,3,0
5,4,2,4,0
5,4,2,5,0
5,4,3,0,0
5,4,3,1,0
5,4,3,2,0
5,4,3,3,0
5,4,3,4,0
5,4,3,5,0
6,0,0,0,0
6,0,0,1,4
6,0,0,2,8
6,0,0,3,0
6,0,0,4,18
6,0,0,5,8
6,0,1,0,0
6,0,1,1,0
6,0,1,2,0
6,0,1,3,2
6,0,1,4,1
6,0,1,5,0
6,0,2,0,7
6,0,2,1,5
6,0,2,2,5
6,0,2,3,157
6,0,2,4,1
6,0,2,5,2
6,0,3,0,2
6,0,3,1,0
6,0,3,2,3
6,0,3,3,0
6,0,3,4,2
6,0,3,5,3
6,1,0,0,0
6,1,0,1,0
6,1,0,2,0
6,1,0,3,0
6,1,0,4,0
6,1,0,5,0
6,1,1,0,0
6,1,1,1,0
6,1,1,2,0
6,1,1,3,0
6,1,1,4,0
6,1,1,5,0
6,1,2,0,1
6,1,2,1,0
6,1,2,2,0
6,1,2,3,1
6,1,2,4,0
6,1,2,5,0
6,1,3,0,0
6,1,3,1,0
6,1,3,2,0
6,1,3,3,0
6,1,3,4,0
6,1,3,5,0
6,2,0,0,1
6,2,0,1,1
6,2,0,2,1
6,2,0,3,0
6,2,0,4,0
6,2,0,5,1
6,2,1,0,1
6,2,1,1,0
6,2,1,2,0
6,2,1,3,2
6,2,1,4,1
6,2,1,5,0
6,2,2,0,0
6,2,2,1,2
6,2,2,2,2
6,2,2,3,0
6,2,2,4,0
6,2,2,5,0
6,2,3,0,0
6,2,3,1,0
6,2,3,2,0
6,2,3,3,1
6,2,3,4,0
6,2,3,5,0
6,3,0,0,0
6,3,0,1,0
6,3,0,2,0
6,3,0,3,0
6,3,0,4,0
6,3,0,5,0
6,3,1,0,0
6,3,1,1,0
6,3,1,2,0
6,3,1,3,0
6,3,1,4,0
6,3,1,5,0
6,3,2,0,0
6,3,2,1,0
6,3,2,2,0
6,3,2,3,0
6,3,2,4,0
6,3,2,5,0
6,3,3,0,0
6,3,3,1,0
6,3,3,2,0
6,3,3,3,0
6,3,3,4,0
6,3,3,5,0
6,4,0,0,0
6,4,0,1,0
6,4,0,2,0
6,4,0,3,0
6,4,0,4,0
6,4,0,5,0
6,4,1,0,0
6,4,1,1,0
6,4,1,2,0
6,4,1,3,0
6,4,1,4,0
6,4,1,5,0
6,4,2,0,0
6,4,2,1,0
6,4,2,2,0
6,4,2,3,0
6,4,2,4,0
6,4,2,5,0
6,4,3,0,0
6,4,3,1,0
6,4,3,2,0
6,4,3,3,0
6,4,3,4,0
6,4,3,5,0
7,0,0,0,4
7,0,0,1,5
7,0,0,2,2
7,0,0,3,2
7,0,0,4,0
7,0,0,5,5
7,0,1,0,3
7,0,1,1,0
7,0,1,2,7
7,0,1,3,2
7,0,1,4,1
7,0,1,5,1
7,0,2,0,1
7,0,2,1,3
7,0,2,2,181
7,0,2,3,475
7,0,2,4,4
7,0,2,5,0
7,0,3,0,0
7,0,3,1,0
7,0,3,2,0
7,0,3,3,5
7,0,3,4,1
7,0,3,5,3
7,1,0,0,0
7,1,0,1,0
7,1,0,2,0
7,1,0,3,0
7,1,0,4,0
7,1,0,5,0
7,1,1,0,0
7,1,1,1,0
7,1,1,2,1
7,1,1,3,0
7,1,1,4,0
7,1,1,5,0
7,1,2,0,11
7,1,2,1,7
7,1,2,2,15
7,1,2,3,0
7,1,2,4,0
7,1,2,5,1
7,1,3,0,0
7,1,3,1,0
7,1,3,2,0
7,1,3,3,0
7,1,3,4,0
7,1,3,5,0
7,2,0,0,3
7,2,0,1,4
7,2,0,2,3
7,2,0,3,3
7,2,0,4,1
7,2,0,5,1
7,2,1,0,2
7,2,1,1,4
7,2,1,2,0
7,2,1,3,0
7,2,1,4,0
7,2,1,5,0
7,2,2,0,73
7,2,2,1,3
7,2,2,2,0
7,2,2,3,5
7,2,2,4,0
7,2,2,5,5
7,2,3,0,1
7,2,3,1,2
7,2,3,2,3
7,2,3,3,0
7,2,3,4,0
7,2,3,5,0
7,3,0,0,0
7,3,0,1,3
7,3,0,2,0
7,3,0,3,0
7,3,0,4,0
7,3,0,5,1
7,3,1,0,0
7,3,1,1,0
7,3,1,2,0
7,3,1,3,1
7,3,1,4,0
7,3,1,5,0
7,3,2,0,0
7,3,2,1,1
7,3,2,2,0
7,3,2,3,0
7,3,2,4,0
7,3,2,5,0
7,3,3,0,0
7,3,3,1,0
7,3,3,2,2
7,3,3,3,0
7,3,3,4,0
7,3,3,5,0
7,4,0,0,1
7,4,0,1,0
7,4,0,2,0
7,4,0,3,0
7,4,0,4,0
7,4,0,5,0
7,4,1,0,0
7,4,1,1,0
7,4,1,2,0
7,4,1,3,0
7,4,1,4,0
7,4,1,5,0
7,4,2,0,0
7,4,2,1,0
7,4,2,2,0
7,4,2,3,0
7,4,2,4,0
7,4,2,5,0
7,4,3,0,0
7,4,3,1,1
7,4,3,2,0
7,4,3,3,0
7,4,3,4,0
7,4,3,5,0
8,0,0,0,27
8,0,0,1,159
8,0,0,2,295
8,0,0,3,1089
8,0,0,4,1386
8,0,0,5,1070
8,0,1,0,0
8,0,1,1,0
8,0,1,2,0
8,0,1,3,0
8,0,1,4,15
8,0,1,5,0
8,0,2,0,8
8,0,2,1,262
8,0,2,2,1512
8,0,2,3,2057
8,0,2,4,253
8,0,2,5,10
8,0,3,0,0
8,0,3,1,2
8,0,3,2,5
8,0,3,3,8
8,0,3,4,0
8,0,3,5,0
8,1,0,0,0
8,1,0,1,0
8,1,0,2,0
8,1,0,3,0
8,1,0,4,0
8,1,0,5,0
8,1,1,0,0
8,1,1,1,0
8,1,1,2,0
8,1,1,3,0
8,1,1,4,0
8,1,1,5,0
8,1,2,0,485
8,1,2,1,1804
8,1,2,2,2277
8,1,2,3,795
8,1,2,4,2
8,1,2,5,0
8,1,3,0,0
8,1,3,1,0
8,1,3,2,0
8,1,3,3,0
8,1,3,4,0
8,1,3,5,0
8,2,0,0,84
8,2,0,1,395
8,2,0,2,298
8,2,0,3,283
8,2,0,4,144
8,2,0,5,17
8,2,1,0,277
8,2,1,1,295
8,2,1,2,124
8,2,1,3,41
8,2,1,4,0
8,2,1,5,0
8,2,2,0,21031
8,2,2,1,18013
8,2,2,2,12811
8,2,2,3,5657
8,2,2,4,337
8,2,2,5,14
8,2,3,0,1
8,2,3,1,15
8,2,3,2,1
8,2,3,3,1
8,2,3,4,0
8,2,3,5,0
8,3,0,0,0
8,3,0,1,2
8,3,0,2,7
8,3,0,3,10
8,3,0,4,3
8,3,0,5,12
8,3,1,0,0
8,3,1,1,0
8,3,1,2,0
8,3,1,3,0
8,3,1,4,0
8,3,1,5,0
8,3,2,0,949
8,3,2,1,853
8,3,2,2,803
8,3,2,3,575
8,3,2,4,3
8,3,2,5,5
8,3,3,0,6
8,3,3,1,0
8,3,3,2,2
8,3,3,3,1
8,3,3,4,0
8,3,3,5,0
8,4,0,0,59
8,4,0,1,64
8,4,0,2,71
8,4,0,3,5
8,4,0,4,0
8,4,0,5,0
8,4,1,0,11
8,4,1,1,3
8,4,1,2,0
8,4,1,3,0
8,4,1,4,0
8,4,1,5,0
8,4,2,0,253
8,4,2,1,137
8,4,2,2,84
8,4,2,3,60
8,4,2,4,0
8,4,2,5,0
8,4,3,0,4
8,4,3,1,0
8,4,3,2,0
8,4,3,3,1
8,4,3,4,0
8,4,3,5,0
9,0,0,0,2
9,0,0,1,7
9,0,0,2,6
9,0,0,3,2
9,0,0,4,8
9,0,0,5,6
9,0,1,0,0
9,0,1,1,11
9,0,1,2,0
9,0,1,3,6
9,0,1,4,2
9,0,1,5,0
9,0,2,0,1
9,0,2,1,6
9,0,2,2,5
9,0,2,3,25
9,0,2,4,0
9,0,2,5,8
9,0,3,0,0
9,0,3,1,1
9,0,3,2,1
9,0,3,3,0
9,0,3,4,5
9,0,3,5,1
9,1,0,0,0
9,1,0,1,0
9,1,0,2,0
9,1,0,3,0
9,1,0,4,0
9,1,0,5,0
9,1,1,0,0
9,1,1,1,0
9,1,1,2,0
9,1,1,3,0
9,1,1,4,0
9,1,1,5,0
9,1,2,0,1
9,1,2,1,8
9,1,2,2,8
9,1,2,3,4
9,1,2,4,1
9,1,2,5,0
9,1,3,0,0
9,1,3,1,0
9,1,3,2,0
9,1,3,3,0
9,1,3,4,0
9,1,3,5,0
9,2,0,0,1
9,2,0,1,1
9,2,0,2,0
9,2,0,3,2
9,2,0,4,0
9,2,0,5,1
9,2,1,0,1
9,2,1,1,1
9,2,1,2,2
9,2,1,3,0
9,2,1,4,3
9,2,1,5,0
9,2,2,0,2
9,2,2,1,0
9,2,2,2,0
9,2,2,3,1
9,2,2,4,1
9,2,2,5,7
9,2,3,0,3
9,2,3,1,1
9,2,3,2,0
9,2,3,3,0
9,2,3,4,2
9,2,3,5,0
9,3,0,0,0
9,3,0,1,0
9,3,0,2,0
9,3,0,3,0
9,3,0,4,0
9,3,0,5,0
9,3,1,0,0
9,3,1,1,0
9,3,1,2,0
9,3,1,3,0
9,3,1,4,0
9,3,1,5,0
9,3,2,0,0
9,3,2,1,0
9,3,2,2,1
9,3,2,3,0
9,3,2,4,0
9,3,2,5,0
9,3,3,0,1
9,3,3,1,0
9,3,3,2,0
9,3,3,3,0
9,3,3,4,0
9,3,3,5,0
9,4,0,0,1
9,4,0,1,0
9,4,0,2,0
9,4,0,3,0
9,4,0,4,0
9,4,0,5,0
9,4,1,0,1
9,4,1,1,0
9,4,1,2,0
9,4,1,3,0
9,4,1,4,0
9,4,1,5,0
9,4,2,0,0
9,4,2,1,0
9,4,2,2,0
9,4,2,3,0
9,4,2,4,0
9,4,2,5,0
9,4,3,0,0
9,4,3,1,0
9,4,3,2,0
9,4,3,3,0
9,4,3,4,0
9,4,3,5,0
