家族類型,所有,建て方,面積,人数
0,0,0,0,13
0,0,0,1,28
0,0,0,2,0
0,0,0,3,1667
0,0,0,4,2558
0,0,0,5,1960
0,0,1,0,1
0,0,1,1,0
0,0,1,2,3
0,0,1,3,9
0,0,1,4,37
0,0,1,5,0
0,0,2,0,53
0,0,2,1,17
0,0,2,2,2379
0,0,2,3,3554
0,0,2,4,4
0,0,2,5,2
0,0,3,0,0
0,0,3,1,0
0,0,3,2,0
0,0,3,3,6
0,0,3,4,3
0,0,3,5,8
0,1,0,0,0
0,1,0,1,0
0,1,0,2,0
0,1,0,3,0
0,1,0,4,0
0,1,0,5,0
0,1,1,0,0
0,1,1,1,0
0,1,1,2,0
0,1,1,3,0
0,1,1,4,0
0,1,1,5,0
0,1,2,0,149
0,1,2,1,1342
0,1,2,2,2168
0,1,2,3,21
0,1,2,4,2
0,1,2,5,0
0,1,3,0,0
0,1,3,1,0
0,1,3,2,0
0,1,3,3,0
0,1,3,4,0
0,1,3,5,0
0,2,0,0,0
0,2,0,1,23
0,2,0,2,13
0,2,0,3,2
0,2,0,4,3
0,2,0,5,9
0,2,1,0,5
0,2,1,1,10
0,2,1,2,10
0,2,1,3,6
0,2,1,4,1
0,2,1,5,0
0,2,2,0,4026
0,2,2,1,2969
0,2,2,2,2056
0,2,2,3,4
0,2,2,4,3
0,2,2,5,2
0,2,3,0,7
0,2,3,1,7
0,2,3,2,2
0,2,3,3,0
0,2,3,4,0
0,2,3,5,0
0,3,0,0,1
0,3,0,1,1
0,3,0,2,2
0,3,0,3,10
0,3,0,4,9
0,3,0,5,27
0,3,1,0,0
0,3,1,1,0
0,3,1,2,1
0,3,1,3,1
0,3,1,4,1
0,3,1,5,1
0,3,2,0,166
0,3,2,1,274
0,3,2,2,453
0,3,2,3,130
0,3,2,4,3
0,3,2,5,0
0,3,3,0,0
0,3,3,1,3
0,3,3,2,6
0,3,3,3,5
0,3,3,4,0
0,3,3,5,2
0,4,0,0,9
0,4,0,1,37
0,4,0,2,17
0,4,0,3,2
0,4,0,4,0
0,4,0,5,0
0,4,1,0,2
0,4,1,1,2
0,4,1,2,0
0,4,1,3,1
0,4,1,4,0
0,4,1,5,0
0,4,2,0,42
0,4,2,1,17
0,4,2,2,8
0,4,2,3,16
0,4,2,4,0
0,4,2,5,0
0,4,3,0,1
0,4,3,1,0
0,4,3,2,2
0,4,3,3,0
0,4,3,4,0
0,4,3,5,0
1,0,0,0,9
1,0,0,1,268
1,0,0,2,1775
1,0,0,3,4504
1,0,0,4,5584
1,0,0,5,4733
1,0,1,0,4
1,0,1,1,22
1,0,1,2,3
1,0,1,3,2
1,0,1,4,17
1,0,1,5,1
1,0,2,0,201
1,0,2,1,1560
1,0,2,2,5482
1,0,2,3,7038
1,0,2,4,1347
1,0,2,5,172
1,0,3,0,3
1,0,3,1,0
1,0,3,2,8
1,0,3,3,40
1,0,3,4,4
1,0,3,5,3
1,1,0,0,0
1,1,0,1,0
1,1,0,2,0
1,1,0,3,0
1,1,0,4,0
1,1,0,5,0
1,1,1,0,0
1,1,1,1,0
1,1,1,2,0
1,1,1,3,0
1,1,1,4,0
1,1,1,5,0
1,1,2,0,514
1,1,2,1,2222
1,1,2,2,3417
1,1,2,3,1199
1,1,2,4,0
1,1,2,5,0
1,1,3,0,0
1,1,3,1,0
1,1,3,2,0
1,1,3,3,0
1,1,3,4,0
1,1,3,5,0
1,2,0,0,0
1,2,0,1,1
1,2,0,2,4
1,2,0,3,12
1,2,0,4,9
1,2,0,5,1
1,2,1,0,0
1,2,1,1,9
1,2,1,2,2
1,2,1,3,32
1,2,1,4,11
1,2,1,5,1
1,2,2,0,7557
1,2,2,1,6645
1,2,2,2,5255
1,2,2,3,1055
1,2,2,4,1
1,2,2,5,7
1,2,3,0,12
1,2,3,1,2
1,2,3,2,1
1,2,3,3,0
1,2,3,4,2
1,2,3,5,1
1,3,0,0,0
1,3,0,1,3
1,3,0,2,7
1,3,0,3,73
1,3,0,4,26
1,3,0,5,8
1,3,1,0,1
1,3,1,1,0
1,3,1,2,0
1,3,1,3,6
1,3,1,4,3
1,3,1,5,1
1,3,2,0,939
1,3,2,1,670
1,3,2,2,1086
1,3,2,3,1020
1,3,2,4,38
1,3,2,5,1
1,3,3,0,11
1,3,3,1,2
1,3,3,2,0
1,3,3,3,4
1,3,3,4,0
1,3,3,5,0
1,4,0,0,42
1,4,0,1,40
1,4,0,2,100
1,4,0,3,19
1,4,0,4,0
1,4,0,5,0
1,4,1,0,12
1,4,1,1,1
1,4,1,2,0
1,4,1,3,2
1,4,1,4,0
1,4,1,5,0
1,4,2,0,197
1,4,2,1,72
1,4,2,2,97
1,4,2,3,20
1,4,2,4,0
1,4,2,5,0
1,4,3,0,2
1,4,3,1,0
1,4,3,2,0
1,4,3,3,0
1,4,3,4,0
1,4,3,5,0
10,0,0,0,3
10,0,0,1,5
10,0,0,2,8
10,0,0,3,18
10,0,0,4,0
10,0,0,5,3
10,0,1,0,0
10,0,1,1,0
10,0,1,2,2
10,0,1,3,4
10,0,1,4,17
10,0,1,5,0
10,0,2,0,16
10,0,2,1,3
10,0,2,2,6
10,0,2,3,875
10,0,2,4,1
10,0,2,5,0
10,0,3,0,0
10,0,3,1,0
10,0,3,2,0
10,0,3,3,1
10,0,3,4,3
10,0,3,5,1
10,1,0,0,0
10,1,0,1,0
10,1,0,2,0
10,1,0,3,0
10,1,0,4,0
10,1,0,5,0
10,1,1,0,0
10,1,1,1,0
10,1,1,2,0
10,1,1,3,0
10,1,1,4,0
10,1,1,5,0
10,1,2,0,8
10,1,2,1,60
10,1,2,2,13
10,1,2,3,48
10,1,2,4,1
10,1,2,5,0
10,1,3,0,0
10,1,3,1,0
10,1,3,2,0
10,1,3,3,0
10,1,3,4,0
10,1,3,5,0
10,2,0,0,5
10,2,0,1,5
10,2,0,2,18
10,2,0,3,0
10,2,0,4,4
10,2,0,5,0
10,2,1,0,7
10,2,1,1,8
10,2,1,2,3
10,2,1,3,0
10,2,1,4,0
10,2,1,5,1
10,2,2,0,176
10,2,2,1,1
10,2,2,2,26
10,2,2,3,0
10,2,2,4,11
10,2,2,5,2
10,2,3,0,3
10,2,3,1,2
10,2,3,2,2
10,2,3,3,8
10,2,3,4,1
10,2,3,5,0
10,3,0,0,0
10,3,0,1,1
10,3,0,2,1
10,3,0,3,3
10,3,0,4,0
10,3,0,5,1
10,3,1,0,1
10,3,1,1,0
10,3,1,2,2
10,3,1,3,0
10,3,1,4,1
10,3,1,5,0
10,3,2,0,0
10,3,2,1,0
10,3,2,2,2
10,3,2,3,0
10,3,2,4,0
10,3,2,5,0
10,3,3,0,2
10,3,3,1,0
10,3,3,2,1
10,3,3,3,1
10,3,3,4,1
10,3,3,5,0
10,4,0,0,1
10,4,0,1,1
10,4,0,2,2
10,4,0,3,2
10,4,0,4,0
10,4,0,5,0
10,4,1,0,1
10,4,1,1,3
10,4,1,2,0
10,4,1,3,0
10,4,1,4,0
10,4,1,5,0
10,4,2,0,0
10,4,2,1,2
10,4,2,2,3
10,4,2,3,11
10,4,2,4,0
10,4,2,5,0
10,4,3,0,4
10,4,3,1,1
10,4,3,2,0
10,4,3,3,1
10,4,3,4,0
10,4,3,5,0
11,0,0,0,1
11,0,0,1,19
11,0,0,2,8
11,0,0,3,4
11,0,0,4,31
11,0,0,5,37
11,0,1,0,1
11,0,1,1,3
11,0,1,2,6
11,0,1,3,6
11,0,1,4,4
11,0,1,5,0
11,0,2,0,4
11,0,2,1,5
11,0,2,2,4
11,0,2,3,4
11,0,2,4,16
11,0,2,5,1
11,0,3,0,2
11,0,3,1,0
11,0,3,2,5
11,0,3,3,10
11,0,3,4,7
11,0,3,5,6
11,1,0,0,0
11,1,0,1,0
11,1,0,2,0
11,1,0,3,0
11,1,0,4,0
11,1,0,5,0
11,1,1,0,0
11,1,1,1,0
11,1,1,2,0
11,1,1,3,0
11,1,1,4,0
11,1,1,5,0
11,1,2,0,2
11,1,2,1,0
11,1,2,2,3
11,1,2,3,2
11,1,2,4,2
11,1,2,5,0
11,1,3,0,0
11,1,3,1,0
11,1,3,2,0
11,1,3,3,0
11,1,3,4,0
11,1,3,5,0
11,2,0,0,3
11,2,0,1,3
11,2,0,2,0
11,2,0,3,1
11,2,0,4,1
11,2,0,5,1
11,2,1,0,4
11,2,1,1,1
11,2,1,2,2
11,2,1,3,0
11,2,1,4,7
11,2,1,5,2
11,2,2,0,3
11,2,2,1,3
11,2,2,2,1
11,2,2,3,1
11,2,2,4,3
11,2,2,5,0
11,2,3,0,0
11,2,3,1,0
11,2,3,2,4
11,2,3,3,3
11,2,3,4,1
11,2,3,5,2
11,3,0,0,0
11,3,0,1,0
11,3,0,2,0
11,3,0,3,0
11,3,0,4,0
11,3,0,5,0
11,3,1,0,0
11,3,1,1,0
11,3,1,2,0
11,3,1,3,0
11,3,1,4,0
11,3,1,5,0
11,3,2,0,0
11,3,2,1,0
11,3,2,2,0
11,3,2,3,0
11,3,2,4,0
11,3,2,5,0
11,3,3,0,0
11,3,3,1,0
11,3,3,2,0
11,3,3,3,0
11,3,3,4,0
11,3,3,5,0
11,4,0,0,0
11,4,0,1,1
11,4,0,2,0
11,4,0,3,1
11,4,0,4,0
11,4,0,5,0
11,4,1,0,0
11,4,1,1,0
11,4,1,2,0
11,4,1,3,0
11,4,1,4,0
11,4,1,5,0
11,4,2,0,0
11,4,2,1,0
11,4,2,2,1
11,4,2,3,0
11,4,2,4,0
11,4,2,5,0
11,4,3,0,1
11,4,3,1,0
11,4,3,2,0
11,4,3,3,0
11,4,3,4,0
11,4,3,5,0
12,0,0,0,6
12,0,0,1,4
12,0,0,2,0
12,0,0,3,0
12,0,0,4,0
12,0,0,5,41
12,0,1,0,0
12,0,1,1,4
12,0,1,2,4
12,0,1,3,5
12,0,1,4,6
12,0,1,5,0
12,0,2,0,29
12,0,2,1,14
12,0,2,2,16
12,0,2,3,425
12,0,2,4,13
12,0,2,5,3
12,0,3,0,2
12,0,3,1,2
12,0,3,2,1
12,0,3,3,3
12,0,3,4,6
12,0,3,5,2
12,1,0,0,0
12,1,0,1,0
12,1,0,2,0
12,1,0,3,0
12,1,0,4,0
12,1,0,5,0
12,1,1,0,0
12,1,1,1,0
12,1,1,2,0
12,1,1,3,0
12,1,1,4,0
12,1,1,5,0
12,1,2,0,17
12,1,2,1,2
12,1,2,2,3
12,1,2,3,6
12,1,2,4,6
12,1,2,5,0
12,1,3,0,0
12,1,3,1,0
12,1,3,2,0
12,1,3,3,0
12,1,3,4,0
12,1,3,5,0
12,2,0,0,1
12,2,0,1,3
12,2,0,2,0
12,2,0,3,1
12,2,0,4,1
12,2,0,5,6
12,2,1,0,0
12,2,1,1,0
12,2,1,2,2
12,2,1,3,0
12,2,1,4,0
12,2,1,5,0
12,2,2,0,5
12,2,2,1,0
12,2,2,2,2
12,2,2,3,2
12,2,2,4,1
12,2,2,5,0
12,2,3,0,1
12,2,3,1,0
12,2,3,2,0
12,2,3,3,3
12,2,3,4,0
12,2,3,5,0
12,3,0,0,0
12,3,0,1,0
12,3,0,2,0
12,3,0,3,0
12,3,0,4,0
12,3,0,5,0
12,3,1,0,0
12,3,1,1,0
12,3,1,2,3
12,3,1,3,0
12,3,1,4,0
12,3,1,5,0
12,3,2,0,1
12,3,2,1,0
12,3,2,2,0
12,3,2,3,0
12,3,2,4,2
12,3,2,5,0
12,3,3,0,0
12,3,3,1,0
12,3,3,2,1
12,3,3,3,0
12,3,3,4,0
12,3,3,5,0
12,4,0,0,0
12,4,0,1,1
12,4,0,2,2
12,4,0,3,0
12,4,0,4,0
12,4,0,5,0
12,4,1,0,0
12,4,1,1,0
12,4,1,2,0
12,4,1,3,0
12,4,1,4,0
12,4,1,5,0
12,4,2,0,1
12,4,2,1,2
12,4,2,2,1
12,4,2,3,0
12,4,2,4,0
12,4,2,5,0
12,4,3,0,0
12,4,3,1,0
12,4,3,2,0
12,4,3,3,0
12,4,3,4,0
12,4,3,5,0
13,0,0,0,23
13,0,0,1,1
13,0,0,2,16
13,0,0,3,35
13,0,0,4,15
13,0,0,5,35
13,0,1,0,0
13,0,1,1,0
13,0,1,2,3
13,0,1,3,5
13,0,1,4,1
13,0,1,5,0
13,0,2,0,5
13,0,2,1,1
13,0,2,2,8
13,0,2,3,346
13,0,2,4,1
13,0,2,5,3
13,0,3,0,2
13,0,3,1,8
13,0,3,2,1
13,0,3,3,1
13,0,3,4,1
13,0,3,5,7
13,1,0,0,0
13,1,0,1,0
13,1,0,2,0
13,1,0,3,0
13,1,0,4,0
13,1,0,5,0
13,1,1,0,0
13,1,1,1,0
13,1,1,2,0
13,1,1,3,0
13,1,1,4,0
13,1,1,5,0
13,1,2,0,18
13,1,2,1,33
13,1,2,2,150
13,1,2,3,101
13,1,2,4,2
13,1,2,5,0
13,1,3,0,0
13,1,3,1,0
13,1,3,2,0
13,1,3,3,0
13,1,3,4,0
13,1,3,5,0
13,2,0,0,1
13,2,0,1,11
13,2,0,2,2
13,2,0,3,3
13,2,0,4,0
13,2,0,5,9
13,2,1,0,4
13,2,1,1,8
13,2,1,2,3
13,2,1,3,0
13,2,1,4,0
13,2,1,5,0
13,2,2,0,963
13,2,2,1,321
13,2,2,2,28
13,2,2,3,13
13,2,2,4,1
13,2,2,5,1
13,2,3,0,2
13,2,3,1,3
13,2,3,2,0
13,2,3,3,1
13,2,3,4,0
13,2,3,5,1
13,3,0,0,0
13,3,0,1,0
13,3,0,2,0
13,3,0,3,0
13,3,0,4,1
13,3,0,5,0
13,3,1,0,0
13,3,1,1,1
13,3,1,2,1
13,3,1,3,0
13,3,1,4,1
13,3,1,5,1
13,3,2,0,4
13,3,2,1,0
13,3,2,2,2
13,3,2,3,0
13,3,2,4,1
13,3,2,5,0
13,3,3,0,0
13,3,3,1,0
13,3,3,2,0
13,3,3,3,0
13,3,3,4,0
13,3,3,5,0
13,4,0,0,1
13,4,0,1,5
13,4,0,2,2
13,4,0,3,1
13,4,0,4,0
13,4,0,5,0
13,4,1,0,3
13,4,1,1,0
13,4,1,2,0
13,4,1,3,2
13,4,1,4,0
13,4,1,5,0
13,4,2,0,0
13,4,2,1,11
13,4,2,2,2
13,4,2,3,4
13,4,2,4,0
13,4,2,5,0
13,4,3,0,0
13,4,3,1,0
13,4,3,2,0
13,4,3,3,0
13,4,3,4,0
13,4,3,5,0
14,0,0,0,3
14,0,0,1,8
14,0,0,2,38
14,0,0,3,13
14,0,0,4,11
14,0,0,5,33
14,0,1,0,0
14,0,1,1,1
14,0,1,2,4
14,0,1,3,3
14,0,1,4,19
14,0,1,5,0
14,0,2,0,5
14,0,2,1,9
14,0,2,2,5
14,0,2,3,1077
14,0,2,4,10
14,0,2,5,11
14,0,3,0,5
14,0,3,1,0
14,0,3,2,6
14,0,3,3,1
14,0,3,4,8
14,0,3,5,14
14,1,0,0,0
14,1,0,1,0
14,1,0,2,0
14,1,0,3,0
14,1,0,4,0
14,1,0,5,0
14,1,1,0,0
14,1,1,1,0
14,1,1,2,0
14,1,1,3,0
14,1,1,4,0
14,1,1,5,0
14,1,2,0,0
14,1,2,1,53
14,1,2,2,497
14,1,2,3,1
14,1,2,4,5
14,1,2,5,0
14,1,3,0,0
14,1,3,1,0
14,1,3,2,0
14,1,3,3,0
14,1,3,4,0
14,1,3,5,0
14,2,0,0,17
14,2,0,1,6
14,2,0,2,1
14,2,0,3,15
14,2,0,4,0
14,2,0,5,17
14,2,1,0,0
14,2,1,1,2
14,2,1,2,2
14,2,1,3,3
14,2,1,4,6
14,2,1,5,1
14,2,2,0,520
14,2,2,1,151
14,2,2,2,9
14,2,2,3,12
14,2,2,4,1
14,2,2,5,0
14,2,3,0,6
14,2,3,1,2
14,2,3,2,4
14,2,3,3,1
14,2,3,4,1
14,2,3,5,0
14,3,0,0,2
14,3,0,1,1
14,3,0,2,0
14,3,0,3,0
14,3,0,4,0
14,3,0,5,0
14,3,1,0,2
14,3,1,1,2
14,3,1,2,0
14,3,1,3,0
14,3,1,4,0
14,3,1,5,0
14,3,2,0,4
14,3,2,1,2
14,3,2,2,3
14,3,2,3,0
14,3,2,4,0
14,3,2,5,6
14,3,3,0,0
14,3,3,1,1
14,3,3,2,0
14,3,3,3,0
14,3,3,4,1
14,3,3,5,0
14,4,0,0,4
14,4,0,1,0
14,4,0,2,4
14,4,0,3,2
14,4,0,4,0
14,4,0,5,0
14,4,1,0,1
14,4,1,1,4
14,4,1,2,1
14,4,1,3,1
14,4,1,4,0
14,4,1,5,0
14,4,2,0,0
14,4,2,1,1
14,4,2,2,1
14,4,2,3,1
14,4,2,4,0
14,4,2,5,0
14,4,3,0,0
14,4,3,1,0
14,4,3,2,0
14,4,3,3,0
14,4,3,4,0
14,4,3,5,0
15,0,0,0,1
15,0,0,1,12
15,0,0,2,7
15,0,0,3,32
15,0,0,4,20
15,0,0,5,5
15,0,1,0,1
15,0,1,1,10
15,0,1,2,2
15,0,1,3,23
15,0,1,4,8
15,0,1,5,0
15,0,2,0,17
15,0,2,1,7
15,0,2,2,15
15,0,2,3,381
15,0,2,4,14
15,0,2,5,3
15,0,3,0,1
15,0,3,1,9
15,0,3,2,0
15,0,3,3,2
15,0,3,4,9
15,0,3,5,1
15,1,0,0,0
15,1,0,1,0
15,1,0,2,0
15,1,0,3,0
15,1,0,4,0
15,1,0,5,0
15,1,1,0,0
15,1,1,1,1
15,1,1,2,1
15,1,1,3,0
15,1,1,4,0
15,1,1,5,0
15,1,2,0,5
15,1,2,1,64
15,1,2,2,65
15,1,2,3,84
15,1,2,4,1
15,1,2,5,0
15,1,3,0,0
15,1,3,1,0
15,1,3,2,0
15,1,3,3,0
15,1,3,4,0
15,1,3,5,0
15,2,0,0,13
15,2,0,1,9
15,2,0,2,15
15,2,0,3,2
15,2,0,4,0
15,2,0,5,13
15,2,1,0,0
15,2,1,1,13
15,2,1,2,2
15,2,1,3,10
15,2,1,4,3
15,2,1,5,0
15,2,2,0,1817
15,2,2,1,586
15,2,2,2,16
15,2,2,3,0
15,2,2,4,9
15,2,2,5,2
15,2,3,0,2
15,2,3,1,1
15,2,3,2,2
15,2,3,3,0
15,2,3,4,1
15,2,3,5,0
15,3,0,0,0
15,3,0,1,4
15,3,0,2,2
15,3,0,3,4
15,3,0,4,2
15,3,0,5,13
15,3,1,0,0
15,3,1,1,0
15,3,1,2,2
15,3,1,3,3
15,3,1,4,2
15,3,1,5,0
15,3,2,0,4
15,3,2,1,2
