町丁目,夫婦のみの世帯,夫婦と子供から成る世帯,その他の核家族世帯,核家族以外の世帯,非親族を含む世帯,単独世帯,夫婦のみの世帯.1,夫婦と子供から成る世帯.1,その他の核家族世帯.1,核家族以外の世帯.1,非親族を含む世帯.1,単独世帯.1
博多駅前１丁目,31,31,23,19,9,647,62,114,52,57,18,647
博多駅前２丁目,19,4,10,4,1,259,38,12,22,12,2,259
博多駅前３丁目,54,18,27,14,8,1425,108,66,58,46,17,1425
博多駅前４丁目,240,176,120,59,31,2782,480,606,276,160,69,2782
博多駅中央街,5,1,4,0,1,58,10,3,8,0,2,58
博多駅東１丁目,49,28,24,12,16,678,98,95,56,30,33,678
博多駅東２丁目,20,21,15,3,6,334,40,67,34,8,12,334
博多駅東３丁目,47,24,27,10,13,818,94,84,61,26,26,818
博多駅南１丁目,33,35,18,13,12,1094,66,118,38,41,24,1094
博多駅南２丁目,143,181,61,42,22,1548,286,647,143,130,45,1548
博多駅南３丁目,196,202,108,63,39,2440,392,729,249,168,85,2440
博多駅南４丁目,107,121,64,27,17,723,214,423,144,91,34,723
博多駅南５丁目,138,162,70,53,21,1388,276,574,159,183,44,1388
博多駅南６丁目,107,159,35,19,12,426,214,565,84,73,24,426
山王１丁目,98,156,57,23,16,425,196,574,137,68,39,425
山王２丁目,34,46,15,8,11,233,68,172,38,30,22,233
比恵町,228,178,81,56,40,1986,456,609,182,144,82,1986
美野島１丁目,83,105,67,47,16,1325,166,370,149,149,33,1325
美野島２丁目,135,163,99,60,47,1965,270,575,224,205,100,1965
美野島３丁目,187,247,103,51,42,1492,374,893,246,168,92,1492
美野島４丁目,208,325,69,28,9,218,416,1197,169,112,21,218
住吉１丁目,0,1,3,3,0,25,0,3,9,11,0,25
住吉２丁目,87,61,51,31,31,1481,174,197,116,103,64,1481
住吉３丁目,78,43,38,31,25,1241,156,149,83,82,50,1241
住吉４丁目,126,92,69,44,29,1427,252,315,156,121,59,1427
住吉５丁目,125,124,86,54,26,1289,250,439,192,183,53,1289
上川端町,46,33,26,16,4,261,92,114,58,62,9,261
下川端町,15,16,9,3,5,119,30,54,20,6,10,119
店屋町,41,35,18,9,7,389,82,119,42,25,14,389
冷泉町,76,60,39,26,13,921,152,216,91,83,27,921
祇園町,52,44,50,17,26,672,104,149,115,55,59,672
中洲１丁目,0,0,1,0,0,3,0,0,3,0,0,3
中洲２丁目,1,2,1,1,0,60,2,9,2,4,0,60
中洲３丁目,2,1,2,1,0,3,4,3,4,2,0,3
中洲４丁目,1,3,2,1,0,4,2,11,5,4,0,4
中洲５丁目,13,3,4,1,4,505,26,11,10,2,8,505
中洲中島町,28,12,9,6,6,269,56,40,24,13,14,269
古門戸町,43,57,31,22,4,498,86,209,66,81,8,498
対馬小路,76,113,40,34,11,647,152,417,99,111,22,647
築港本町,85,70,43,19,35,1146,170,242,104,68,71,1146
奈良屋町,86,109,52,42,7,554,172,396,129,164,15,554
神屋町,76,67,42,27,23,1199,152,237,102,91,48,1199
須崎町,54,49,32,11,7,552,108,171,72,41,16,552
綱場町,20,13,13,11,7,410,40,45,27,30,14,410
石城町,46,47,32,13,6,799,92,172,70,38,13,799
上呉服町,58,86,37,34,6,514,116,309,82,142,16,514
中呉服町,36,23,18,12,11,811,72,80,39,32,23,811
下呉服町,70,90,55,33,4,981,140,329,128,112,10,981
大博町,70,86,54,34,16,711,140,311,133,111,38,711
御供所町,52,61,29,24,12,524,104,214,63,79,29,524
千代１丁目,219,152,128,76,34,1479,438,542,311,230,70,1479
千代２丁目,59,34,49,16,11,912,118,119,117,49,25,912
千代３丁目,156,126,116,42,24,990,312,467,279,112,51,990
千代４丁目,57,36,49,32,18,1486,114,117,116,98,36,1486
千代５丁目,113,106,87,34,10,703,226,390,209,101,22,703
千代６丁目,26,16,25,6,4,490,52,61,59,18,10,490
東公園,13,11,5,6,2,196,26,42,10,20,6,196
吉塚本町,102,126,31,19,21,477,204,433,73,76,45,477
吉塚１丁目,180,183,132,67,24,1105,360,660,330,219,48,1105
吉塚２丁目,142,200,79,52,15,723,284,745,185,169,35,723
吉塚３丁目,119,149,88,38,11,598,238,530,207,128,27,598
吉塚４丁目,207,353,122,58,29,649,414,1258,297,211,63,649
吉塚５丁目,122,209,72,47,10,496,244,777,181,165,25,496
吉塚６丁目,195,256,106,42,15,1010,390,927,249,129,30,1010
吉塚７丁目,154,199,73,43,11,616,308,704,173,140,22,616
吉塚８丁目,30,47,22,11,11,159,60,170,56,34,22,159
豊１丁目,73,71,24,21,16,522,146,247,59,59,32,522
豊２丁目,56,54,10,9,20,288,112,185,20,24,40,288
榎田１丁目,51,76,7,19,10,407,102,280,15,44,20,407
榎田２丁目,4,3,0,0,0,23,8,11,0,0,0,23
堅粕１丁目,81,79,63,17,1,403,162,285,153,55,2,403
堅粕２丁目,73,73,46,17,6,408,146,269,106,52,12,408
堅粕３丁目,77,75,54,42,14,655,154,260,126,117,30,655
堅粕４丁目,70,83,45,38,12,847,140,273,103,139,25,847
堅粕５丁目,24,15,7,8,9,377,48,52,14,23,18,377
東光１丁目,11,0,2,1,4,152,22,0,4,2,8,152
東光２丁目,76,73,42,22,12,386,152,270,103,65,26,386
東比恵１丁目,11,5,7,2,1,124,22,16,16,8,2,124
東比恵２丁目,54,40,29,10,4,592,108,140,67,32,8,592
東比恵３丁目,142,155,49,19,17,820,284,534,114,70,37,820
東比恵４丁目,59,75,36,16,6,307,118,275,84,48,12,307
上牟田１丁目,56,96,25,17,9,364,112,336,65,72,18,364
上牟田２丁目,10,13,3,8,1,34,20,46,6,29,2,34
上牟田３丁目,46,54,43,24,3,162,92,201,103,91,6,162
大井１丁目,2,1,2,1,1,4,4,3,4,6,2,4
大井２丁目,21,31,15,4,5,85,42,114,39,16,10,85
大字下臼井,0,0,0,0,0,0,0,0,0,0,0,0
大字下月隈,0,0,0,0,0,0,0,0,0,0,0,0
大字立花寺,9,29,8,9,0,6,18,114,21,43,0,6
大字金隈,0,0,0,0,0,0,0,0,0,0,0,0
西月隈１丁目,20,18,11,7,2,120,40,62,30,28,6,120
西月隈３丁目,76,151,36,12,6,192,152,533,83,50,17,192
西月隈４丁目,0,0,0,0,0,13,0,0,0,0,0,13
西月隈５丁目,31,59,30,22,3,108,62,219,68,92,6,108
西月隈６丁目,0,4,1,1,2,23,0,18,3,2,4,23
東月隈１丁目,76,85,25,22,1,38,152,309,62,87,2,38
東月隈２丁目,80,76,17,27,0,28,160,258,41,127,0,28
東月隈３丁目,112,119,38,35,1,99,224,431,94,153,5,99
東月隈４丁目,155,169,166,43,7,262,310,654,397,146,18,262
東月隈５丁目,94,101,31,55,3,84,188,352,69,247,12,84
浦田１丁目,118,231,71,56,8,170,236,840,188,241,20,170
浦田２丁目,74,187,23,28,2,112,148,685,62,109,7,112
東那珂１丁目,109,251,53,31,12,327,218,936,130,125,24,327
東那珂２丁目,94,181,46,30,9,292,188,667,115,104,20,292
東那珂３丁目,85,190,60,43,8,177,170,715,146,173,21,177
半道橋１丁目,127,218,65,41,9,288,254,789,155,149,21,288
半道橋２丁目,19,14,9,10,3,54,38,49,19,35,9,54
竹下１丁目,54,76,19,7,5,362,108,274,45,23,11,362
竹下２丁目,37,23,7,6,7,374,74,85,15,18,14,374
竹下３丁目,0,0,0,0,0,0,0,0,0,0,0,0
竹下４丁目,71,59,48,14,10,496,142,202,112,48,21,496
竹下５丁目,90,155,33,23,5,410,180,556,81,78,11,410
東光寺町１丁目,65,71,18,20,14,188,130,259,45,80,30,188
東光寺町２丁目,44,100,29,6,1,86,88,368,77,21,2,86
那珂１丁目,117,197,66,48,10,520,234,705,166,188,27,520
那珂２丁目,98,158,41,26,3,245,196,580,96,97,6,245
那珂３丁目,113,249,118,36,11,254,226,945,288,140,25,254
那珂４丁目,84,228,62,32,4,200,168,852,150,121,10,200
那珂５丁目,66,126,46,21,5,223,132,458,114,83,15,223
那珂６丁目,58,124,25,17,0,228,116,454,62,78,0,228
板付１丁目,33,56,11,9,3,84,66,194,25,32,9,84
板付２丁目,64,129,31,32,4,112,128,479,77,133,9,112
板付３丁目,301,357,285,76,7,558,602,1327,667,285,19,558
板付４丁目,116,164,83,22,6,317,232,600,196,79,16,317
板付５丁目,79,182,54,29,5,286,158,660,130,130,16,286
板付６丁目,47,87,21,11,3,106,94,315,53,45,6,106
板付７丁目,161,306,118,34,13,360,322,1148,284,116,27,360
大字板付,10,16,6,4,0,9,20,55,16,17,0,9
諸岡１丁目,64,128,36,35,0,77,128,464,86,160,0,77
諸岡２丁目,89,126,46,14,9,193,178,452,116,60,25,193
諸岡３丁目,218,506,120,75,14,699,436,1876,289,291,38,699
諸岡４丁目,146,160,73,57,17,380,292,564,166,217,43,380
諸岡５丁目,136,215,62,41,6,464,272,768,150,158,12,464
諸岡６丁目,109,154,42,32,12,289,218,530,98,128,29,289
麦野１丁目,74,84,32,38,3,152,148,291,69,170,7,152
麦野２丁目,85,143,49,18,3,107,170,519,125,69,8,107
麦野３丁目,55,130,30,21,4,174,110,501,85,95,10,174
麦野４丁目,124,162,78,34,11,533,248,588,187,125,27,533
麦野５丁目,133,176,88,44,9,349,266,626,209,170,23,349
麦野６丁目,82,98,51,37,10,499,164,343,116,130,20,499
井相田１丁目,8,33,7,0,1,40,16,128,18,0,2,40
井相田２丁目,22,78,9,5,2,71,44,287,25,20,4,71
井相田３丁目,106,147,23,29,12,248,212,529,59,118,28,248
三筑１丁目,63,179,34,19,5,165,126,677,85,74,11,165
三筑２丁目,118,234,82,37,9,424,236,872,215,145,22,424
相生町１丁目,46,89,25,4,1,33,92,321,60,16,2,33
相生町２丁目,39,51,13,10,3,224,78,182,28,40,6,224
相生町３丁目,59,87,47,16,8,201,118,308,116,49,21,201
銀天町１丁目,20,37,14,4,0,57,40,128,35,17,0,57
銀天町２丁目,19,19,7,2,2,116,38,68,17,5,4,116
銀天町３丁目,17,15,9,5,4,167,34,50,18,13,8,167
寿町１丁目,18,17,1,0,0,5,36,59,2,0,0,5
寿町２丁目,71,65,23,12,7,411,142,228,51,42,15,411
寿町３丁目,58,82,31,11,4,249,116,290,71,35,8,249
昭南町１丁目,27,37,16,5,2,173,54,132,38,25,4,173
昭南町２丁目,12,15,6,3,1,95,24,53,13,7,2,95
昭南町３丁目,25,15,12,11,2,108,50,55,25,42,4,108
新和町１丁目,39,59,40,18,0,103,78,220,98,59,0,103
新和町２丁目,44,88,25,17,3,184,88,322,57,75,6,184
西春町１丁目,35,57,37,19,0,193,70,217,85,66,0,193
西春町２丁目,10,9,3,4,1,80,20,31,7,16,2,80
西春町３丁目,37,50,17,9,1,124,74,170,35,33,2,124
西春町４丁目,15,29,18,6,3,39,30,103,40,20,9,39
春町１丁目,19,22,18,6,2,194,38,75,42,21,7,194
春町２丁目,49,68,32,9,5,174,98,249,76,34,10,174
春町３丁目,39,36,15,7,4,134,78,124,36,26,8,134
東雲町１丁目,8,3,2,1,1,101,16,12,4,3,2,101
東雲町２丁目,33,65,26,6,4,132,66,226,63,21,8,132
東雲町３丁目,26,39,10,10,0,81,52,136,25,33,0,81
東雲町４丁目,13,17,6,5,0,99,26,59,16,17,0,99
光丘町１丁目,43,72,40,10,0,190,86,265,96,35,0,190
光丘町２丁目,17,46,8,6,0,82,34,175,18,25,0,82
光丘町３丁目,19,36,11,5,2,64,38,129,26,20,4,64
南本町１丁目,19,11,8,6,2,91,38,41,18,25,4,91
南本町２丁目,33,28,23,11,3,119,66,102,48,43,7,119
南八幡町１丁目,39,77,22,11,3,220,78,284,57,38,9,220
南八幡町２丁目,57,171,41,16,5,228,114,628,96,65,11,228
竹丘町１丁目,30,31,11,11,2,97,60,112,27,38,4,97
竹丘町２丁目,25,42,22,8,2,216,50,158,50,27,5,216
竹丘町３丁目,21,5,8,4,1,75,42,17,16,10,2,75
元町１丁目,28,30,14,8,1,132,56,107,30,25,2,132
元町２丁目,152,208,59,31,3,368,304,750,138,106,9,368
元町３丁目,6,76,3,0,0,4,12,284,7,0,0,4
青木１丁目,127,234,53,33,3,230,254,861,133,130,12,230
青木２丁目,2,2,1,1,0,0,4,7,4,6,0,0
空港前１丁目,1,1,0,1,0,15,2,4,0,7,0,15
空港前２丁目,49,84,24,30,4,271,98,297,56,120,8,271
空港前３丁目,46,74,29,37,8,384,92,261,73,163,17,384
空港前４丁目,7,19,2,16,1,49,14,63,6,75,5,49
空港前５丁目,29,44,13,16,1,34,58,168,31,69,2,34
東平尾１丁目,68,113,20,11,5,160,136,408,47,46,11,160
東平尾２丁目,75,106,21,21,8,104,150,381,49,84,21,104
東平尾３丁目,0,0,0,0,0,0,0,0,0,0,0,0
東平尾公園１丁目,0,0,0,0,0,0,0,0,0,0,0,0
東平尾公園２丁目,0,0,0,0,0,0,0,0,0,0,0,0
月隈１丁目,18,34,7,8,1,18,36,128,18,35,3,18
月隈２丁目,41,107,28,21,2,55,82,400,70,93,4,55
月隈３丁目,18,40,15,6,0,41,36,153,36,29,-,41
月隈４丁目,0,0,0,0,0,0,0,0,0,0,0,0
月隈５丁目,0,0,0,0,0,0,0,0,0,0,0,0
月隈６丁目,34,62,17,13,4,114,68,221,48,62,9,114
立花寺,36,47,9,16,2,96,72,168,27,71,4,96
金の隈１丁目,132,192,49,41,6,235,264,733,119,176,12,235
金の隈２丁目,52,96,30,16,3,110,104,353,75,74,8,110
金の隈３丁目,91,136,29,28,4,328,182,495,66,118,10,328
博多港,0,0,0,0,0,0,0,0,0,0,0,0