,一戸建,長屋建,共同住宅 2),その他
持ち家 3),11938,192,16504,141
0～29m2,106,13,238,15
30～49m2,362,37,1073,14
50～69m2,1026,35,5545,28
70～99m2,3081,50,8968,30
100～149m2,4407,56,576,27
150m2以上,2956,1,104,27
公営・都市再生機構・公社の借家 3),-,3,11420,-
0～29m2,-,-,601,-
30～49m2,-,1,3831,-
50～69m2,-,2,5933,-
70～99m2,-,-,1038,-
100～149m2,-,-,15,-
150m2以上,-,-,2,-
民営の借家 3),1451,899,72869,113
0～29m2,115,306,32581,47
30～49m2,444,337,21289,38
50～69m2,338,157,12854,13
70～99m2,336,73,5687,10
100～149m2,175,23,381,5
150m2以上,43,3,77,-
給与住宅 3),152,30,4776,55
0～29m2,5,10,1620,11
30～49m2,29,5,1368,14
50～69m2,21,7,1024,11
70～99m2,42,6,713,10
100～149m2,30,2,40,4
150m2以上,25,-,11,5
間借り 3),298,38,793,16
0～29m2,86,23,410,11
30～49m2,74,10,195,3
50～69m2,90,2,106,1
70～99m2,48,3,82,1
100～149m2,-,-,-,-
150m2以上,-,-,-,-
一般世帯人員,-,-,-,-
持ち家 3),30881,416,38654,328
0～29m2,116,21,370,29
30～49m2,479,63,1752,26
50～69m2,1980,68,11696,51
70～99m2,7282,102,23050,87
100～149m2,12181,158,1506,76
150m2以上,8843,4,280,59
公営・都市再生機構・公社の借家 3),-,4,22003,-
0～29m2,-,-,819,-
30～49m2,-,2,6941,-
50～69m2,-,2,11885,-
70～99m2,-,-,2308,-
100～149m2,-,-,43,-
150m2以上,-,-,7,-
民営の借家 3),3234,1577,97078,174
0～29m2,120,421,35329,59
30～49m2,852,592,28081,62
50～69m2,777,330,22382,21
70～99m2,874,160,10495,21
100～149m2,494,68,648,11
150m2以上,117,6,143,-
給与住宅 3),404,62,8125,109
0～29m2,5,10,1742,19
30～49m2,54,9,1842,24
50～69m2,58,16,2399,24
70～99m2,120,19,2012,25
100～149m2,88,8,103,6
150m2以上,79,-,27,11
間借り 3),679,68,1161,23
0～29m2,146,31,464,14
30～49m2,152,28,310,4
50～69m2,231,3,212,4
70～99m2,150,6,175,1
100～149m2,-,-,-,-
150m2以上,-,-,-,-