,,,,,,,,,一般世帯数,一般世帯人員
町丁字コード,地域識別番号,秘匿処理,秘匿先情報,合算地域,都道府県名,市区町村名,大字・町名,字・丁目名,住宅以外に住む一般世帯,住宅以外に住む一般世帯
,1,,,,福岡県,福岡市博多区,,,2345,2485
10,2,,,,福岡県,福岡市博多区,博多駅前,,75,82
1001,3,,,,福岡県,福岡市博多区,博多駅前,１丁目,34,38
1002,3,,,,福岡県,福岡市博多区,博多駅前,２丁目,6,7
1003,3,,,,福岡県,福岡市博多区,博多駅前,３丁目,13,13
1004,3,,,,福岡県,福岡市博多区,博多駅前,４丁目,22,24
20,2,,,,福岡県,福岡市博多区,博多駅中央街,,-,-
30,2,,,,福岡県,福岡市博多区,博多駅東,,15,18
3001,3,,,,福岡県,福岡市博多区,博多駅東,１丁目,8,9
3002,3,,,,福岡県,福岡市博多区,博多駅東,２丁目,1,1
3003,3,,,,福岡県,福岡市博多区,博多駅東,３丁目,6,8
40,2,,,,福岡県,福岡市博多区,博多駅南,,375,388
4001,3,,,,福岡県,福岡市博多区,博多駅南,１丁目,127,128
4002,3,,,,福岡県,福岡市博多区,博多駅南,２丁目,11,16
4003,3,,,,福岡県,福岡市博多区,博多駅南,３丁目,27,32
4004,3,,,,福岡県,福岡市博多区,博多駅南,４丁目,93,93
4005,3,,,,福岡県,福岡市博多区,博多駅南,５丁目,102,104
4006,3,,,,福岡県,福岡市博多区,博多駅南,６丁目,15,15
50,2,,,,福岡県,福岡市博多区,山王,,36,41
5001,3,,,,福岡県,福岡市博多区,山王,１丁目,35,39
5002,3,,,,福岡県,福岡市博多区,山王,２丁目,1,2
60,2,,,,福岡県,福岡市博多区,比恵町,,8,8
70,2,,,,福岡県,福岡市博多区,美野島,,203,210
7001,3,,,,福岡県,福岡市博多区,美野島,１丁目,28,29
7002,3,,,,福岡県,福岡市博多区,美野島,２丁目,9,15
7003,3,,,,福岡県,福岡市博多区,美野島,３丁目,166,166
7004,3,,,,福岡県,福岡市博多区,美野島,４丁目,-,-
80,2,,,,福岡県,福岡市博多区,住吉,,14,14
8001,3,,,,福岡県,福岡市博多区,住吉,１丁目,-,-
8002,3,,,,福岡県,福岡市博多区,住吉,２丁目,4,4
8003,3,,,,福岡県,福岡市博多区,住吉,３丁目,7,7
8004,3,,,,福岡県,福岡市博多区,住吉,４丁目,2,2
8005,3,,,,福岡県,福岡市博多区,住吉,５丁目,1,1
90,2,,,,福岡県,福岡市博多区,上川端町,,1,1
100,2,,,,福岡県,福岡市博多区,下川端町,,-,-
110,2,,,,福岡県,福岡市博多区,店屋町,,5,5
120,2,,,,福岡県,福岡市博多区,冷泉町,,4,4
130,2,,,,福岡県,福岡市博多区,祇園町,,-,-
140,2,,,,福岡県,福岡市博多区,中洲,,3,4
14001,3,,,,福岡県,福岡市博多区,中洲,１丁目,1,1
14002,3,,,,福岡県,福岡市博多区,中洲,２丁目,-,-
14003,3,,,,福岡県,福岡市博多区,中洲,３丁目,-,-
14004,3,,,,福岡県,福岡市博多区,中洲,４丁目,1,1
14005,3,,,,福岡県,福岡市博多区,中洲,５丁目,1,2
150,2,,,,福岡県,福岡市博多区,中洲中島町,,-,-
160,2,,,,福岡県,福岡市博多区,古門戸町,,5,6
170,2,,,,福岡県,福岡市博多区,対馬小路,,5,5
180,2,合算地域あり,,230,福岡県,福岡市博多区,築港本町,,1,1
190,2,,,,福岡県,福岡市博多区,奈良屋町,,15,15
200,2,,,,福岡県,福岡市博多区,神屋町,,9,10
210,2,,,,福岡県,福岡市博多区,須崎町,,3,5
220,2,,,,福岡県,福岡市博多区,綱場町,,2,2
230,2,秘匿地域,180,,福岡県,福岡市博多区,沖浜町,,X,X
240,2,,,,福岡県,福岡市博多区,石城町,,147,148
250,2,,,,福岡県,福岡市博多区,上呉服町,,1,1
260,2,,,,福岡県,福岡市博多区,中呉服町,,7,8
270,2,,,,福岡県,福岡市博多区,下呉服町,,-,-
280,2,,,,福岡県,福岡市博多区,大博町,,41,42
290,2,,,,福岡県,福岡市博多区,御供所町,,14,20
300,2,,,,福岡県,福岡市博多区,千代,,221,226
30001,3,,,,福岡県,福岡市博多区,千代,１丁目,29,32
30002,3,,,,福岡県,福岡市博多区,千代,２丁目,5,6
30003,3,,,,福岡県,福岡市博多区,千代,３丁目,3,4
30004,3,,,,福岡県,福岡市博多区,千代,４丁目,126,126
30005,3,,,,福岡県,福岡市博多区,千代,５丁目,58,58
30006,3,,,,福岡県,福岡市博多区,千代,６丁目,-,-
310,2,,,,福岡県,福岡市博多区,東公園,,-,-
320,2,,,,福岡県,福岡市博多区,吉塚本町,,12,13
330,2,,,,福岡県,福岡市博多区,吉塚,,125,140
33001,3,,,,福岡県,福岡市博多区,吉塚,１丁目,6,10
33002,3,,,,福岡県,福岡市博多区,吉塚,２丁目,-,-
33003,3,,,,福岡県,福岡市博多区,吉塚,３丁目,8,10
33004,3,,,,福岡県,福岡市博多区,吉塚,４丁目,9,9
33005,3,,,,福岡県,福岡市博多区,吉塚,５丁目,55,55
33006,3,,,,福岡県,福岡市博多区,吉塚,６丁目,39,48
33007,3,,,,福岡県,福岡市博多区,吉塚,７丁目,8,8
33008,3,,,,福岡県,福岡市博多区,吉塚,８丁目,-,-
340,2,,,,福岡県,福岡市博多区,豊,,6,7
34001,3,,,,福岡県,福岡市博多区,豊,１丁目,2,2
34002,3,,,,福岡県,福岡市博多区,豊,２丁目,4,5
350,2,,,,福岡県,福岡市博多区,榎田,,-,-
35001,3,合算地域あり,,370,福岡県,福岡市博多区,榎田,１丁目,-,-
35002,3,,,,福岡県,福岡市博多区,榎田,２丁目,-,-
360,2,,,,福岡県,福岡市博多区,堅粕,,38,43
36001,3,,,,福岡県,福岡市博多区,堅粕,１丁目,-,-
36002,3,,,,福岡県,福岡市博多区,堅粕,２丁目,2,4
36003,3,,,,福岡県,福岡市博多区,堅粕,３丁目,-,-
36004,3,,,,福岡県,福岡市博多区,堅粕,４丁目,31,34
36005,3,,,,福岡県,福岡市博多区,堅粕,５丁目,5,5
370,2,秘匿地域,35001,,福岡県,福岡市博多区,大字堅粕,,X,X
380,2,,,,福岡県,福岡市博多区,東光,,43,45
38001,3,,,,福岡県,福岡市博多区,東光,１丁目,1,1
38002,3,,,,福岡県,福岡市博多区,東光,２丁目,42,44
390,2,,,,福岡県,福岡市博多区,東比恵,,116,120
39001,3,,,,福岡県,福岡市博多区,東比恵,１丁目,1,1
39002,3,,,,福岡県,福岡市博多区,東比恵,２丁目,9,11
39003,3,,,,福岡県,福岡市博多区,東比恵,３丁目,98,98
39004,3,,,,福岡県,福岡市博多区,東比恵,４丁目,8,10
400,2,,,,福岡県,福岡市博多区,上牟田,,1,1
40001,3,,,,福岡県,福岡市博多区,上牟田,１丁目,-,-
40002,3,,,,福岡県,福岡市博多区,上牟田,２丁目,1,1
40003,3,,,,福岡県,福岡市博多区,上牟田,３丁目,-,-
430,2,,,,福岡県,福岡市博多区,大井,,11,11
43001,3,,,,福岡県,福岡市博多区,大井,１丁目,-,-
43002,3,,,,福岡県,福岡市博多区,大井,２丁目,11,11
450,2,,,,福岡県,福岡市博多区,大字下臼井,,-,-
480,2,,,,福岡県,福岡市博多区,大字下月隈,,-,-
490,2,,,,福岡県,福岡市博多区,大字立花寺,,-,-
500,2,,,,福岡県,福岡市博多区,大字金隈,,-,-
510,2,,,,福岡県,福岡市博多区,西月隈,,51,60
51001,3,合算地域あり,,51002,福岡県,福岡市博多区,西月隈,１丁目,27,29
51002,3,秘匿地域,51001,,福岡県,福岡市博多区,西月隈,２丁目,X,X
51003,3,,,,福岡県,福岡市博多区,西月隈,３丁目,2,9
51004,3,,,,福岡県,福岡市博多区,西月隈,４丁目,13,13
51005,3,,,,福岡県,福岡市博多区,西月隈,５丁目,-,-
51006,3,,,,福岡県,福岡市博多区,西月隈,６丁目,9,9
520,2,,,,福岡県,福岡市博多区,東月隈,,7,7
52001,3,,,,福岡県,福岡市博多区,東月隈,１丁目,-,-
52002,3,,,,福岡県,福岡市博多区,東月隈,２丁目,-,-
52003,3,,,,福岡県,福岡市博多区,東月隈,３丁目,1,1
52004,3,,,,福岡県,福岡市博多区,東月隈,４丁目,-,-
52005,3,,,,福岡県,福岡市博多区,東月隈,５丁目,6,6
530,2,,,,福岡県,福岡市博多区,浦田,,15,17
53001,3,,,,福岡県,福岡市博多区,浦田,１丁目,5,7
53002,3,,,,福岡県,福岡市博多区,浦田,２丁目,10,10
540,2,,,,福岡県,福岡市博多区,東那珂,,62,62
54001,3,,,,福岡県,福岡市博多区,東那珂,１丁目,-,-
54002,3,,,,福岡県,福岡市博多区,東那珂,２丁目,39,39
54003,3,,,,福岡県,福岡市博多区,東那珂,３丁目,23,23
550,2,,,,福岡県,福岡市博多区,半道橋,,37,37
55001,3,,,,福岡県,福岡市博多区,半道橋,１丁目,37,37
55002,3,,,,福岡県,福岡市博多区,半道橋,２丁目,-,-
560,2,,,,福岡県,福岡市博多区,竹下,,103,104
56001,3,,,,福岡県,福岡市博多区,竹下,１丁目,5,5
56002,3,,,,福岡県,福岡市博多区,竹下,２丁目,94,95
56003,3,,,,福岡県,福岡市博多区,竹下,３丁目,-,-
56004,3,,,,福岡県,福岡市博多区,竹下,４丁目,2,2
56005,3,,,,福岡県,福岡市博多区,竹下,５丁目,2,2
570,2,,,,福岡県,福岡市博多区,東光寺町,,8,8
57001,3,,,,福岡県,福岡市博多区,東光寺町,１丁目,7,7
57002,3,,,,福岡県,福岡市博多区,東光寺町,２丁目,1,1
580,2,,,,福岡県,福岡市博多区,那珂,,33,41
58001,3,,,,福岡県,福岡市博多区,那珂,１丁目,8,9
58002,3,,,,福岡県,福岡市博多区,那珂,２丁目,5,8
58003,3,,,,福岡県,福岡市博多区,那珂,３丁目,1,5
58004,3,,,,福岡県,福岡市博多区,那珂,４丁目,2,2
58005,3,,,,福岡県,福岡市博多区,那珂,５丁目,17,17
58006,3,,,,福岡県,福岡市博多区,那珂,６丁目,-,-
590,2,,,,福岡県,福岡市博多区,板付,,4,4
59001,3,,,,福岡県,福岡市博多区,板付,１丁目,-,-
59002,3,,,,福岡県,福岡市博多区,板付,２丁目,-,-
59003,3,,,,福岡県,福岡市博多区,板付,３丁目,1,1
59004,3,,,,福岡県,福岡市博多区,板付,４丁目,2,2
59005,3,,,,福岡県,福岡市博多区,板付,５丁目,-,-
59006,3,,,,福岡県,福岡市博多区,板付,６丁目,-,-
59007,3,,,,福岡県,福岡市博多区,板付,７丁目,1,1
600,2,,,,福岡県,福岡市博多区,大字板付,,-,-
610,2,,,,福岡県,福岡市博多区,諸岡,,66,71
61001,3,,,,福岡県,福岡市博多区,諸岡,１丁目,2,7
61002,3,,,,福岡県,福岡市博多区,諸岡,２丁目,-,-
61003,3,,,,福岡県,福岡市博多区,諸岡,３丁目,5,5
61004,3,,,,福岡県,福岡市博多区,諸岡,４丁目,-,-
61005,3,,,,福岡県,福岡市博多区,諸岡,５丁目,37,37
61006,3,,,,福岡県,福岡市博多区,諸岡,６丁目,22,22
620,2,,,,福岡県,福岡市博多区,麦野,,91,99
62001,3,,,,福岡県,福岡市博多区,麦野,１丁目,1,5
62002,3,,,,福岡県,福岡市博多区,麦野,２丁目,-,-
62003,3,,,,福岡県,福岡市博多区,麦野,３丁目,79,80
62004,3,,,,福岡県,福岡市博多区,麦野,４丁目,5,6
62005,3,,,,福岡県,福岡市博多区,麦野,５丁目,4,4
62006,3,,,,福岡県,福岡市博多区,麦野,６丁目,2,4
630,2,,,,福岡県,福岡市博多区,井相田,,18,18
63001,3,,,,福岡県,福岡市博多区,井相田,１丁目,18,18
63002,3,,,,福岡県,福岡市博多区,井相田,２丁目,-,-
63003,3,,,,福岡県,福岡市博多区,井相田,３丁目,-,-
640,2,,,,福岡県,福岡市博多区,三筑,,63,63
64001,3,,,,福岡県,福岡市博多区,三筑,１丁目,61,61
64002,3,,,,福岡県,福岡市博多区,三筑,２丁目,2,2
650,2,,,,福岡県,福岡市博多区,相生町,,-,-
65001,3,,,,福岡県,福岡市博多区,相生町,１丁目,-,-
65002,3,,,,福岡県,福岡市博多区,相生町,２丁目,-,-
65003,3,,,,福岡県,福岡市博多区,相生町,３丁目,-,-
660,2,,,,福岡県,福岡市博多区,銀天町,,8,8
66001,3,,,,福岡県,福岡市博多区,銀天町,１丁目,1,1
66002,3,,,,福岡県,福岡市博多区,銀天町,２丁目,7,7
66003,3,,,,福岡県,福岡市博多区,銀天町,３丁目,-,-
670,2,,,,福岡県,福岡市博多区,寿町,,7,7
67001,3,,,,福岡県,福岡市博多区,寿町,１丁目,-,-
67002,3,,,,福岡県,福岡市博多区,寿町,２丁目,7,7
67003,3,,,,福岡県,福岡市博多区,寿町,３丁目,-,-
680,2,,,,福岡県,福岡市博多区,昭南町,,-,-
68001,3,,,,福岡県,福岡市博多区,昭南町,１丁目,-,-
68002,3,,,,福岡県,福岡市博多区,昭南町,２丁目,-,-
68003,3,,,,福岡県,福岡市博多区,昭南町,３丁目,-,-
690,2,,,,福岡県,福岡市博多区,新和町,,3,3
69001,3,,,,福岡県,福岡市博多区,新和町,１丁目,-,-
69002,3,,,,福岡県,福岡市博多区,新和町,２丁目,3,3
700,2,,,,福岡県,福岡市博多区,西春町,,59,59
70001,3,,,,福岡県,福岡市博多区,西春町,１丁目,19,19
70002,3,,,,福岡県,福岡市博多区,西春町,２丁目,40,40
70003,3,,,,福岡県,福岡市博多区,西春町,３丁目,-,-
70004,3,,,,福岡県,福岡市博多区,西春町,４丁目,-,-
710,2,,,,福岡県,福岡市博多区,春町,,15,17
71001,3,,,,福岡県,福岡市博多区,春町,１丁目,15,17
71002,3,,,,福岡県,福岡市博多区,春町,２丁目,-,-
71003,3,,,,福岡県,福岡市博多区,春町,３丁目,-,-
720,2,,,,福岡県,福岡市博多区,東雲町,,-,-
72001,3,,,,福岡県,福岡市博多区,東雲町,１丁目,-,-
72002,3,,,,福岡県,福岡市博多区,東雲町,２丁目,-,-
72003,3,,,,福岡県,福岡市博多区,東雲町,３丁目,-,-
72004,3,,,,福岡県,福岡市博多区,東雲町,４丁目,-,-
730,2,,,,福岡県,福岡市博多区,光丘町,,9,12
73001,3,,,,福岡県,福岡市博多区,光丘町,１丁目,3,6
73002,3,,,,福岡県,福岡市博多区,光丘町,２丁目,5,5
73003,3,,,,福岡県,福岡市博多区,光丘町,３丁目,1,1
740,2,,,,福岡県,福岡市博多区,南本町,,-,-
74001,3,,,,福岡県,福岡市博多区,南本町,１丁目,-,-
74002,3,,,,福岡県,福岡市博多区,南本町,２丁目,-,-
750,2,,,,福岡県,福岡市博多区,南八幡町,,2,3
75001,3,,,,福岡県,福岡市博多区,南八幡町,１丁目,1,1
75002,3,,,,福岡県,福岡市博多区,南八幡町,２丁目,1,2
760,2,,,,福岡県,福岡市博多区,竹丘町,,4,6
76001,3,,,,福岡県,福岡市博多区,竹丘町,１丁目,-,-
76002,3,,,,福岡県,福岡市博多区,竹丘町,２丁目,4,6
76003,3,,,,福岡県,福岡市博多区,竹丘町,３丁目,-,-
770,2,,,,福岡県,福岡市博多区,元町,,4,4
77001,3,,,,福岡県,福岡市博多区,元町,１丁目,4,4
77002,3,,,,福岡県,福岡市博多区,元町,２丁目,-,-
77003,3,,,,福岡県,福岡市博多区,元町,３丁目,-,-
780,2,,,,福岡県,福岡市博多区,青木,,2,5
78001,3,,,,福岡県,福岡市博多区,青木,１丁目,2,5
78002,3,,,,福岡県,福岡市博多区,青木,２丁目,-,-
790,2,,,,福岡県,福岡市博多区,空港前,,32,36
79001,3,,,,福岡県,福岡市博多区,空港前,１丁目,-,-
79002,3,,,,福岡県,福岡市博多区,空港前,２丁目,-,-
79003,3,,,,福岡県,福岡市博多区,空港前,３丁目,-,-
79004,3,,,,福岡県,福岡市博多区,空港前,４丁目,31,35
79005,3,,,,福岡県,福岡市博多区,空港前,５丁目,1,1
800,2,,,,福岡県,福岡市博多区,東平尾,,13,13
80001,3,,,,福岡県,福岡市博多区,東平尾,１丁目,11,11
80002,3,,,,福岡県,福岡市博多区,東平尾,２丁目,2,2
80003,3,,,,福岡県,福岡市博多区,東平尾,３丁目,-,-
810,2,,,,福岡県,福岡市博多区,東平尾公園,,-,-
81001,3,,,,福岡県,福岡市博多区,東平尾公園,１丁目,-,-
81002,3,,,,福岡県,福岡市博多区,東平尾公園,２丁目,-,-
820,2,,,,福岡県,福岡市博多区,月隈,,1,2
82001,3,,,,福岡県,福岡市博多区,月隈,１丁目,1,2
82002,3,,,,福岡県,福岡市博多区,月隈,２丁目,-,-
82003,3,,,,福岡県,福岡市博多区,月隈,３丁目,-,-
82004,3,,,,福岡県,福岡市博多区,月隈,４丁目,-,-
82005,3,,,,福岡県,福岡市博多区,月隈,５丁目,-,-
82006,3,,,,福岡県,福岡市博多区,月隈,６丁目,-,-
830,2,合算地域あり,,083001;083002,福岡県,福岡市博多区,立花寺,,6,11
83001,3,秘匿地域,830,,福岡県,福岡市博多区,立花寺,１丁目,X,X
83002,3,秘匿地域,830,,福岡県,福岡市博多区,立花寺,２丁目,X,X
840,2,,,,福岡県,福岡市博多区,金の隈,,60,64
84001,3,,,,福岡県,福岡市博多区,金の隈,１丁目,8,8
84002,3,,,,福岡県,福岡市博多区,金の隈,２丁目,5,5
84003,3,,,,福岡県,福岡市博多区,金の隈,３丁目,47,51
9990,2,,,,福岡県,福岡市博多区,博多港,,-,-